Form factors for coherent and incoherent scattering of gammas as a function of x
x F S
0.00     5.4000e01 0.0000
5.00e-03 5.3988e01 1.2000e-02
1.00e-02 5.3953e01 5.2000e-02
1.50e-02 5.3897e01 1.1620e-01
2.00e-02 5.3817e01 2.0530e-01

2.50e-02 5.3714e01 3.1830e-01
3.00e-02 5.3591e01 4.5390e-01
4.00e-02 5.3280e01 7.8750e-01
5.00e-02 5.2892e01 1.1940e00
7.00e-02 5.1909e01 2.1679e00

9.00e-02 5.0706e01 3.2695e00
1.00e-01 5.0044e01 3.8410e00
1.25e-01 4.8282e01 5.2747e00
1.50e-01 4.6455e01 6.6770e00
1.75e-01 4.4655e01 8.0325e00

2.00e-01 4.2934e01 9.3400e00
2.50e-01 3.9814e01 1.1771e01
3.00e-01 3.7110e01 1.3892e01
4.00e-01 3.2538e01 1.7307e01
5.00e-01 2.8615e01 2.0175e01

6.00e-01 2.5250e01 2.2833e01
7.00e-01 2.2511e01 2.5324e01
8.00e-01 2.0368e01 2.7619e01
9.00e-01 1.8700e01 2.9680e01
1.00e00 1.7357e01 3.1488e01

1.25e00 1.4658e01 3.5023e01
1.50e00 1.2227e01 3.7628e01
2.00e00 8.2735e00 4.1477e01
2.50e00 6.0813e00 4.4220e01
3.00e00 5.2147e00 4.6254e01

3.50e00 4.3481e00 4.7817e01
4.00e00 3.7985e00 4.9030e01
5.00e00 2.6992e00 5.0673e01
6.00e00 1.9537e00 5.1620e01
7.00e00 1.5161e00 5.2197e01

8.00e00 1.3495e00 5.2591e01
1.00e01 1.0163e00 5.3123e01
1.50e01 6.5497e-01 5.3751e01
2.00e01 3.7759e-01 5.3931e01
5.00e01 3.0144e-02 5.3999e01

8.00e01 6.6192e-03 5.4000e01
1.00e02 3.1930e-03 5.4000e01
1.00e03 2.5438e-06 5.4000e01
1.00e06 6.9831e-15 5.4000e01
1.00e09 2.1353e-23 5.4000e01

